battery_type,voltage,internal_resistance,temperature,cycle_count,capacity_remaining,age_months,leakage_detected,class_label,pulse_voltage,pulse_duration,safety_margin,action_suggestion
AA,1.4,0.25,32,123,78,12,0,2,1.6,750,15,Reuse
Li-ion,3.8,0.15,28,456,85,24,0,2,4.2,650,18,Reuse
AAA,1.2,0.35,35,89,65,8,0,1,1.5,820,12,Recharge
Laptop,11.5,0.45,42,234,92,18,0,2,12.0,600,22,Reuse
AA,0.9,0.65,38,445,32,28,0,1,1.7,950,8,Revive
Li-ion,3.2,0.22,31,789,78,36,0,2,4.0,680,16,Reuse
AAA,0.8,0.48,29,156,41,15,0,1,1.6,880,10,Revive
Laptop,10.2,0.72,45,567,56,42,0,1,12.5,1100,14,Recharge
AA,1.5,0.18,25,78,88,6,0,2,1.6,520,20,Reuse
Li-ion,4.1,0.12,22,234,94,12,0,2,4.3,580,25,Reuse
AAA,1.3,0.31,33,112,72,11,0,2,1.5,710,17,Reuse
Laptop,12.1,0.38,39,189,89,15,0,2,12.2,620,19,Reuse
AA,0.8,0.58,41,389,28,32,0,0,1.8,1050,6,Revive
Li-ion,2.9,0.42,48,912,45,48,0,1,4.4,920,11,Revive
AAA,1.1,0.41,27,198,58,18,0,1,1.6,760,13,Recharge
Laptop,11.8,0.29,35,145,91,21,0,2,11.9,590,21,Reuse
AA,1.2,0.33,30,267,69,16,0,2,1.5,680,16,Reuse
Li-ion,3.6,0.19,26,345,83,28,0,2,4.1,630,18,Reuse
AAA,0.9,0.52,36,234,38,22,0,1,1.7,900,9,Revive
Laptop,10.8,0.61,44,423,62,38,0,1,12.3,980,12,Recharge
AA,1.3,0.28,29,156,76,14,0,2,1.5,640,17,Reuse
Li-ion,3.9,0.16,24,189,87,20,0,2,4.2,610,23,Reuse
AAA,1.4,0.26,31,98,82,9,0,2,1.4,580,19,Reuse
Laptop,11.2,0.47,37,298,74,25,0,2,11.8,740,15,Reuse
AA,0.7,0.71,43,498,22,35,1,0,1.9,1200,5,Replace
Li-ion,3.4,0.25,33,567,71,32,0,2,4.0,670,16,Reuse
AAA,1.0,0.44,28,167,48,19,0,1,1.6,830,11,Revive
Laptop,12.0,0.34,40,201,88,17,0,2,12.1,600,20,Reuse
AA,1.1,0.39,34,334,54,24,0,1,1.6,780,13,Recharge
Li-ion,4.0,0.13,21,298,92,16,0,2,4.3,560,24,Reuse
AAA,1.5,0.23,32,76,86,7,0,2,1.4,540,21,Reuse
Laptop,10.5,0.68,46,489,58,45,0,1,12.4,1020,10,Recharge
AA,0.9,0.56,39,412,35,29,0,1,1.7,920,8,Revive
Li-ion,3.7,0.18,27,423,79,26,0,2,4.1,650,17,Reuse
AAA,1.2,0.37,30,145,63,13,0,2,1.5,720,14,Reuse
Laptop,11.6,0.42,36,234,85,22,0,2,11.9,660,18,Reuse
AA,1.4,0.21,26,89,84,10,0,2,1.5,570,19,Reuse
Li-ion,3.1,0.38,45,734,52,41,0,1,4.2,860,12,Revive
AAA,0.8,0.49,33,189,42,20,0,1,1.7,870,10,Revive
Laptop,10.9,0.55,41,356,67,33,0,1,12.2,940,13,Recharge
AA,1.3,0.30,28,198,73,15,0,2,1.5,650,16,Reuse
Li-ion,3.8,0.14,23,267,89,18,0,2,4.2,590,22,Reuse
AAA,1.1,0.42,35,123,59,17,0,1,1.6,790,12,Recharge
Laptop,11.9,0.36,38,178,90,19,0,2,12.0,620,20,Reuse
AA,0.8,0.63,42,456,26,31,0,0,1.8,1080,7,Revive
Li-ion,4.2,0.11,20,156,95,14,0,2,4.4,550,25,Reuse
AAA,1.4,0.27,29,87,81,8,0,2,1.4,600,18,Reuse
Laptop,10.7,0.59,43,445,61,39,0,1,12.3,970,11,Recharge
AA,1.2,0.34,31,289,68,17,0,2,1.5,700,15,Reuse
Li-ion,3.5,0.24,34,512,76,30,0,2,4.0,710,16,Reuse
